name,gender,type,birth_date,nationality,description
谢霆锋,男,演员&歌手,1980年8月29日,中国,华语流行乐男歌手、演员、音乐创作人、制作人、主持人、青年企业家，PO朝霆创始人。
王菲,女,歌手,1969年8月8日,中国,华语流行乐女歌手、演员 ，中国国家一级演员 。
陈冠希,男,演员&歌手,1980年10月7日,加拿大,拥有八分之一葡萄牙血统 ，加拿大籍华语男歌手、演员、商人。 
李亚鹏,男,演员,1971年9月27日,中国,毕业于中央戏剧学院表演系，中国内地男演员、公益人士。
张柏芝,女,演员&歌手,1980年5月24日,中国,出生中国香港，毕业于澳大利亚Rmit Holmes College，中国香港女演员、歌手。
周迅,女,演员&歌手,1974年10月18日,中国,毕业于浙江艺术学校，中国内地女演员、歌手。
张亚东,男,歌手,1969年3月11日,中国,中国内地男音乐制作人、歌手、导演。他是一个非常全能的音乐人，在不同的音乐领域和风格上均有建树
瞿颖,女,演员&歌手,1971年7月2日,中国,毕业于湖南省艺术学校话剧班，国际超模、演员、歌手
窦鹏,男,歌手,1978年1月1日,中国,毕业于中央音乐学院，中国内地男歌手、音乐制作人
朴树,男,歌手,1973年11月8日,中国,出生于江苏省南京市，籍贯北京市，中国内地男歌手、音乐制作人、影视演员
李大齐,男,造型师,1970年3月4日,中国,出生于中国台湾台北，毕业于纽约帕森斯学院，中国台湾男造型师、设计师、演艺DJ
窦颖,女,演员&歌手,1972年1月1日,中国,中国内地女歌手，吸引力合唱组前成员
窦唯,男,歌手,1969年10月14日,中国,出生于北京，中国摇滚乐男歌手、实验音乐人
张杰,男,歌手,1982年12月20日,中国,出生于四川省成都市，中国流行男歌手
谢娜,女,演员,1981年5月6日,中国,出生于四川省德阳市中江县，毕业于四川师范大学电影电视学院表演系，中国内地主持人、歌手、演员
